,sc0,sc1,sc2,sc3
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0
7,0.06488888888888888,0.028733333333333333,0.006857142857142853,0.09844444444444445
8,0.177,0.10286666666666666,0.035714285714285726,0.26022222222222224
9,0.2682222222222222,0.1722,0.06328571428571428,0.385
10,0.33444444444444443,0.21673333333333333,0.08014285714285718,0.45099999999999996
11,0.35533333333333333,0.22666666666666668,0.0872857142857143,0.45411111111111113
12,0.3138888888888889,0.20400000000000001,0.08042857142857143,0.3983333333333333
13,0.21155555555555555,0.14193333333333333,0.05528571428571431,0.28200000000000003
14,0.07855555555555556,0.05513333333333333,0.020571428571428574,0.11811111111111111
15,0.0015555555555555555,0.0011333333333333332,0.0005714285714285714,0.002666666666666666
16,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0
